"Post-pandemic, how has your organization changed its work from home / return to work policy?",,,,,,,,,,,,,,,,,,,
Response,Topic,Subtopic,,Topic,Subtopic,Count,,Topic,Insights,Exemplar_1,Exemplar_2,Summary,,,,,,Prep data for dropdown,
Can't say,Low Content,Low Content,changed T& ST,No change in policy,No change in policy,27,,No change in policy,"Despite the pandemic situation, many organizations have chosen to maintain their pre-existing work from home or return to work policies. Among those who reported a change, there is no clear trend or common change.",Same policy as before; Exactly the same,not much change; half employees still work from home alternating,A majority of the employees reported that their organizations have not changed their work from home or return to work policy post-pandemic.,,,,,,Low Content,
policy wild west. no real rules. makes it impossible to manage,Low Content,Low Content,no polices and no rules,Work location policies,Maintaining full remote work,27,3 extra in dashboard,Work location policies,Results are what matter not the work location.  Different companies may take a different approach but the focus is on achieving results and meeting the needs of both the company and their employees.,My company largely remains flexible on return to office. A few leaders are strongly encouraging in-office three days a week. Employees in those orgs do not view the request favorably.,return to work is more productive in our organization; screen time is reduced. meeting people is very much easy. Overall more productive in many ways.,"The organization's post-pandemic work location policies vary widely. The spectrum ranges from those that haven't changed their policies to those that have transitioned to a hybrid model, with instructions for employees to come to the office on certain days. A few organizations have decided to keep the work-from-home setup permanently, while others have resumed the 5-day office work week. Meanwhile, the education sector's approach is divided based on function, with school-based roles in-person while administrative roles are remote or hybrid.",,,,,,Low Content,
"I'm currently unemployed, but I'll answer the questions as if I'm working on my last startup.",Low Content,Low Content,,Work location policies,Return to office strategy,19,2,Workplace adaptation strategies,"Flexibility is key and for many organizations the hybrid model is the new normal.  There is not one hybrid model, rather many variations that meet the needs of the varied organizations and their employees.",We adopted Hybrid work policy where a combination of remote and on campus participation at work. We leverage technology to have an integrated work experience that spans across remote and on campus workforce to engage and work together.,"We have adopted a hybrid work policy, with different personas.; Persona A, 5-day per week in office; B, 3 or 4 days in office; C, 2-day in office; D, 1-day in office.","Post-pandemic, many organizations have moved to a hybrid work model where employees are required to come into the office for a certain number of days and can work from home for the remainder. Some organizations have implemented flexible plans that are based on employee's choice, some continue to operate fully remotely and others require full-time office work for front desk staff or those who need to see customers in-person.",,,,,,Low Content,
I don't work,Low Content,Low Content,,Workplace adaptation strategies,Flexible work policies,36,6,,,,,,,,,,,Low Content,
"yes,, swiftly",Low Content,Low Content,,Workplace adaptation strategies,Migration to hybrid model,65,2,,,,,,,,,,,Low Content,
yes,Low Content,Low Content,,Low Content,Low Content,7,,,,,,,,,,,,Low Content,
test,Low Content,Low Content,,,,,,,,,,,,,,,,Low Content,
While we like pineapples more than before the pandemic our policy has not changed. Has yours?,No change in policy,No change in policy,changed T& ST,,,181,,,,,,,,,,,,No change in policy,
It hasn’t,No change in policy,No change in policy,,,,,,,,,,,,,,,,No change in policy,
No change,No change in policy,No change in policy,,,,,,,,,,,,,,,,No change in policy,
No change,No change in policy,No change in policy,,,,,,,,,,,,,,,,No change in policy,
No change,No change in policy,No change in policy,,,,,,,,,,,,,,,,No change in policy,
Nothing has changed,No change in policy,No change in policy,,,,,,,,,,,,,,,,No change in policy,
Same policy as before; Exactly the same,No change in policy,No change in policy,,,,,,,,,,,,,,,,No change in policy,
It has remained the same,No change in policy,No change in policy,,,,,,,,,,,,,,,,No change in policy,
it hasn't changed,No change in policy,No change in policy,,,,,,,,,,,,,,,,No change in policy,
It has not changed,No change in policy,No change in policy,,,,,,,,,,,,,,,,No change in policy,
No,No change in policy,No change in policy,,,,,,,,,,,,,,,,No change in policy,
No,No change in policy,No change in policy,,,,,,,,,,,,,,,,No change in policy,
"No change, we have always been fully remote",No change in policy,No change in policy,,,,,,,,,,,,,,,,No change in policy,
"No change in practice, but literally they've said we should all return; Well, it's a bit fuzzy. Black of enforcement and no official notice for over a year. I think they're just pleading with us to please return",No change in policy,No change in policy,,,,,,,,,,,,,,,,No change in policy,
Work has not changed it return to work policy. CEO prefers all employees work 5 days a week in the office,No change in policy,No change in policy,,,,,,,,,,,,,,,,No change in policy,
No change we must work at the office,No change in policy,No change in policy,,,,,,,,,,,,,,,,No change in policy,
Work from home; None,No change in policy,No change in policy,,,,,,,,,,,,,,,,No change in policy,
"The policy didn't change much from pre-pandemic...but we do ow have more people working from home; Well, the company just said the decision would be made by managers with guidance coming from the BU presidents",No change in policy,No change in policy,,,,,,,,,,,,,,,,No change in policy,
not much change; half employees still work from home alternating,No change in policy,No change in policy,,,,,,,,,,,,,,,,No change in policy,
We haven't changed our work from home policy. We have however offered employees access to co working space if they prefer to use that,No change in policy,No change in policy,,,,,,,,,,,,,,,,No change in policy,
I have always worked remotely so there has been no change.,No change in policy,No change in policy,,,,,,,,,,,,,,,,No change in policy,
"Our policy has not changed dramatically. We have maintained a healthy balance of in office work when required, and remote work. We There is value in conducting business physically in person, and saving time when remote meetings can meet the customer and business requirements.",No change in policy,No change in policy,,,,,,,,,,,,,,,,No change in policy,
"Our policy has not changed dramatically.  We have maintained a healthy balance of in office work when required, and remote work.  We There is value in conducting business physically in person, and saving time when remote meetings can meet the customer and business requirements.",No change in policy,No change in policy,,,,,,,,,,,,,,,,No change in policy,
"No, it has not changed",No change in policy,No change in policy,,,,,,,,,,,,,,,,No change in policy,
seems to be the same -,No change in policy,No change in policy,,,,,,,,,,,,,,,,No change in policy,
"no, it has not changed since the pandemic",No change in policy,No change in policy,,,,,,,,,,,,,,,,No change in policy,
"No, it hasn't",No change in policy,No change in policy,,,,,,,,,,,,,,,,No change in policy,
We have allowed for more remote options.,Work location policies,Maintaining full remote work,changed T&ST,,,,,,,,,,,,,,,Maintaining full remote work,Return to office strategy
"yes, there is lot more openness to work from home",Work location policies,Maintaining full remote work,changed T&ST,,,,,,,,,,,,,,,Maintaining full remote work,Return to office strategy
All work from home,Work location policies,Maintaining full remote work,,,,,,,,,,,,,,,,Maintaining full remote work,Return to office strategy
Initially it was hard to move to work from home; To get things sort it was clumpsy later on things settled well,Work location policies,Maintaining full remote work,,,,,,,,,,,,,,,,Maintaining full remote work,Return to office strategy
Still home office; Not much has changed. New updated equipment,Work location policies,Maintaining full remote work,,,,,,,,,,,,,,,,Maintaining full remote work,Return to office strategy
We are Still Working From Home post-pandemic; Nothing has changed,Work location policies,Maintaining full remote work,,,,,,,,,,,,,,,,Maintaining full remote work,Return to office strategy
We've remained entirely remote,Work location policies,Maintaining full remote work,,,,,,,,,,,,,,,,Maintaining full remote work,Return to office strategy
Started from home; Work form home,Work location policies,Maintaining full remote work,,,,,,,,,,,,,,,,Maintaining full remote work,Return to office strategy
wfh only i have joined in pandemic only; did not changed wfh only,Work location policies,Maintaining full remote work,,,,,,,,,,,,,,,,Maintaining full remote work,Return to office strategy
Change to work from home,Work location policies,Maintaining full remote work,,,,,,,,,,,,,,,,Maintaining full remote work,Return to office strategy
Work from home,Work location policies,Maintaining full remote work,,,,,,,,,,,,,,,,Maintaining full remote work,Return to office strategy
Work from home,Work location policies,Maintaining full remote work,,,,,,,,,,,,,,,,Maintaining full remote work,Return to office strategy
Went fully remote,Work location policies,Maintaining full remote work,,,,,,,,,,,,,,,,Maintaining full remote work,Return to office strategy
"We have not changed our work from home/telework policy. We are awaiting administration guidance for returning for work, but many of our staff continue to telework full time or nearly full time.",Work location policies,Maintaining full remote work,,,,,,,,,,,,,,,,Maintaining full remote work,Return to office strategy
"No we've always been remote, and stayed remote",Work location policies,Maintaining full remote work,,,,,,,,,,,,,,,,Maintaining full remote work,Return to office strategy
We are fully remote,Work location policies,Maintaining full remote work,,,,,,,,,,,,,,,,Maintaining full remote work,Return to office strategy
Yes they allowed us to work from home,Work location policies,Maintaining full remote work,,,,,,,,,,,,,,,,Maintaining full remote work,Return to office strategy
continues work from home,Work location policies,Maintaining full remote work,,,,,,,,,,,,,,,,Maintaining full remote work,Return to office strategy
our organization has been a remote first company and we have not changed that post pandemic.  Our employees like working remotely and love the flexibility it gives them.  Policy has stayed the same.,Work location policies,Maintaining full remote work,,,,,,,,,,,,,,,,Maintaining full remote work,Return to office strategy
"No, we have stayed fully remote. But we are being encouraged to start visiting prospects in person again.",Work location policies,Maintaining full remote work,,,,,,,,,,,,,,,,Maintaining full remote work,Return to office strategy
High tolerance of work from home for employees not required to be on site by customers. Geographically distributed teams.,Work location policies,Maintaining full remote work,,,,,,,,,,,,,,,,Maintaining full remote work,Return to office strategy
"It has evolved over time accounting not only for COVID, but also cost optimization as well a business effectiveness",Work location policies,Maintaining full remote work,,,,,,,,,,,,,,,,Maintaining full remote work,Return to office strategy
"Generally before the pandemic work from home was very rare, post pandemic has seen many parts of the organisation utilising wfh where possible to do so",Work location policies,Maintaining full remote work,,,,,,,,,,,,,,,,Maintaining full remote work,Return to office strategy
"Yep, it went from an in-person shop to being fully remote. We hired people all over for the first time",Work location policies,Maintaining full remote work,,,,,,,,,,,,,,,,Maintaining full remote work,Return to office strategy
"yes. While those employees who were remote during the pandemic are still remote, hiring is now centered in the Raleigh NC area with the expectation that new hires will be in a hybrid model, coming to the office 3 days per week",Work location policies,Maintaining full remote work,,,,,,,,,,,,,,,,Maintaining full remote work,Return to office strategy
very much so. during the initial shut-downs the company decided to make WFH permanent. they sold their physical building and transitioned into a completely WFH environment. a very small office was kept in the former physical location to handle mail.,Work location policies,Maintaining full remote work,,,,,,,,,,,,,,,,Maintaining full remote work,Return to office strategy
"Yes, we moved from Office to WFH; no",Work location policies,Maintaining full remote work,,,,,,,,,,,,,,,,Maintaining full remote work,Return to office strategy
"yes.  initially the policy expanded to 6 days per pay period max, then shrank to 4.",Work location policies,Return to office strategy,changed T& ST,,,,,,,,,,,,,,,Maintaining full remote work,Return to office strategy
yes it has; it has changed,Work location policies,Return to office strategy,changed T& ST,,,,,,,,,,,,,,,Maintaining full remote work,Return to office strategy
Moved from office to home and now back to office,Work location policies,Return to office strategy,changed T&ST,,,,,,,,,,,,,,,Maintaining full remote work,Return to office strategy
My company largely remains flexible on return to office. A few leaders are strongly encouraging in-office three days a week. Employees in those orgs do not view the request favorably.,Work location policies,Return to office strategy,,,,,,,,,,,,,,,,Maintaining full remote work,Return to office strategy
Post-pandemic the organization went back to working on campus. The changes were made in putting air purifiers and having hand sanitizers and masks for all.,Work location policies,Return to office strategy,,,,,,,,,,,,,,,,Maintaining full remote work,Return to office strategy
return to work is more productive in our organization; screen time is reduced. meeting people is very much easy. Overall more productive in many ways.,Work location policies,Return to office strategy,,,,,,,,,,,,,,,,Maintaining full remote work,Return to office strategy
Return to work policy; Weekly 5 days office work,Work location policies,Return to office strategy,,,,,,,,,,,,,,,,Maintaining full remote work,Return to office strategy
Return to Work; Customer Acquisition was the major part of my organization. Because of WFH my organization used to loose the business so it opted for return to work.,Work location policies,Return to office strategy,,,,,,,,,,,,,,,,Maintaining full remote work,Return to office strategy
We moved from going zero this to office to going 5 days to office,Work location policies,Return to office strategy,,,,,,,,,,,,,,,,Maintaining full remote work,Return to office strategy
"Yes, work from home was allowed and now they're trying to get us back to the office.",Work location policies,Return to office strategy,,,,,,,,,,,,,,,,Maintaining full remote work,Return to office strategy
Yes.  We are back in the office.,Work location policies,Return to office strategy,,,,,,,,,,,,,,,,Maintaining full remote work,Return to office strategy
"“return to hub” meaning not only return to office, but relocating teams (by reporting manager) to be in the same city",Work location policies,Return to office strategy,,,,,,,,,,,,,,,,Maintaining full remote work,Return to office strategy
We are back in office full time,Work location policies,Return to office strategy,,,,,,,,,,,,,,,,Maintaining full remote work,Return to office strategy
We are slowly getting back into full working from office mode.,Work location policies,Return to office strategy,,,,,,,,,,,,,,,,Maintaining full remote work,Return to office strategy
"yes it has changed, we have been asked to come to office more frequently",Work location policies,Return to office strategy,,,,,,,,,,,,,,,,Maintaining full remote work,Return to office strategy
"It has changed, and increased the number of days they would like you to be in the office",Work location policies,Return to office strategy,,,,,,,,,,,,,,,,Maintaining full remote work,Return to office strategy
Yes. We are back in the office.,Work location policies,Return to office strategy,,,,,,,,,,,,,,,,Maintaining full remote work,Return to office strategy
"Yes it has, we have a RTO office policy",Work location policies,Return to office strategy,,,,,,,,,,,,,,,,Maintaining full remote work,Return to office strategy
yes. back to working as before,Work location policies,Return to office strategy,,,,,,,,,,,,,,,,Maintaining full remote work,Return to office strategy
"Yes,  we are now told to work atleast three days from the office. Althought it's not mandatory as yet, we get the sense that's preferred",Workplace adaptation strategies,Flexible work policies,changed T&ST,,,,,,,,,,,,,,,Flexible work policies,Migration to hybrid model
Keeping work from home; They decided not to renew lease of building,Workplace adaptation strategies,Flexible work policies,,,,,,,,,,,,,,,,Flexible work policies,Migration to hybrid model
The company still allows people to work from home. There have been no mandates to return to the office.,Workplace adaptation strategies,Flexible work policies,,,,,,,,,,,,,,,,Flexible work policies,Migration to hybrid model
We made permanent the ability for those who work remote to stay remote. No formal in-office days.,Workplace adaptation strategies,Flexible work policies,,,,,,,,,,,,,,,,Flexible work policies,Migration to hybrid model
work from home; It's more convenient to employees to work from home and deliverables are in time.,Workplace adaptation strategies,Flexible work policies,,,,,,,,,,,,,,,,Flexible work policies,Migration to hybrid model
We went to work from since pandemic started. Then I was brought back into work full time; Some selective ppl can now do it,Workplace adaptation strategies,Flexible work policies,,,,,,,,,,,,,,,,Flexible work policies,Migration to hybrid model
"I work in K-12 education. For the most part since fall 2021, school-based employees have returned to school. However many administrative and central office roles like HR, benefits, etc. have remained remote or at best hybrid.",Workplace adaptation strategies,Flexible work policies,,,,,,,,,,,,,,,,Flexible work policies,Migration to hybrid model
"I consult to many organizations. They've had a wide ranges of policy changes. My current client has a rather loose policy, where people can show up any time they want to. That contrasts with the university I'm affiliated with; after the pandemic, Stanford has insisted that students, faculty, and staff are regularly on campus.",Workplace adaptation strategies,Flexible work policies,,,,,,,,,,,,,,,,Flexible work policies,Migration to hybrid model
Flexible work procedure. Wfh; The office will be open but it's up to the employee to work from office or to work from home,Workplace adaptation strategies,Flexible work policies,,,,,,,,,,,,,,,,Flexible work policies,Migration to hybrid model
"It is completely flexible for now.; It is not mandatory to work from office, It is completely based on the employees choice.",Workplace adaptation strategies,Flexible work policies,,,,,,,,,,,,,,,,Flexible work policies,Migration to hybrid model
